stat_date,code,market,listed_date,symbol,type,de_listed_date,exchange
2026-01-05,159140.XSHE,CN,2025-12-18,易方达中证科创创业人工智能ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159141.XSHE,CN,2025-12-11,科创创业人工智能ETF永赢,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159142.XSHE,CN,2025-12-12,景顺长城中证科创创业人工智能ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159150.XSHE,CN,2023-12-11,易方达深证50ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159200.XSHE,CN,2025-07-17,富国中证AAA科技创新公司债ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159201.XSHE,CN,2025-02-27,华夏国证自由现金流ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159202.XSHE,CN,2025-04-16,万家恒生互联网科技业ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159203.XSHE,CN,2025-06-30,博时国证大盘成长ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159205.XSHE,CN,2025-06-12,创业板ETF东财,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159206.XSHE,CN,2025-03-14,卫星ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159207.XSHE,CN,2025-04-09,广发中证智选高股息策略ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159208.XSHE,CN,2025-05-12,万家国证航天航空行业ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159209.XSHE,CN,2025-03-25,招商中证全指红利质量ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159210.XSHE,CN,2025-06-04,汇添富中证港股通汽车产业主题ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159211.XSHE,CN,2025-04-14,富国深证100ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159212.XSHE,CN,2025-04-09,南方深证100ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159213.XSHE,CN,2025-04-30,汇添富中证机器人ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159215.XSHE,CN,2025-04-07,平安中证A500ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159216.XSHE,CN,2025-04-11,大成深证100ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159217.XSHE,CN,2025-04-03,港股通创新药ETF工银,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159218.XSHE,CN,2025-05-22,招商中证卫星产业ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159219.XSHE,CN,2025-05-13,融通深证100ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159220.XSHE,CN,2025-05-12,华宝标普港股通低波红利ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159221.XSHE,CN,2025-05-13,嘉实国证自由现金流ETF,ETF,2999-12-31 00:00:00,XSHE
