stat_date,code,market,listed_date,symbol,type,de_listed_date,exchange
2025-01-02,159547.XSHE,CN,2024-02-06,华夏中证红利低波动ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159549.XSHE,CN,2023-12-11,天弘中证红利低波动100ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159551.XSHE,CN,2023-11-16,国泰中证机器人ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159552.XSHE,CN,2024-06-28,招商中证2000增强策略ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159553.XSHE,CN,2024-04-15,海富通中证2000增强策略ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159555.XSHE,CN,2023-12-12,2000增强ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159556.XSHE,CN,2024-01-10,平安中证2000增强策略ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159557.XSHE,CN,2024-05-22,嘉实恒生医疗保健ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159558.XSHE,CN,2024-06-18,易方达中证半导体材料设备主题ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159559.XSHE,CN,2023-12-12,景顺长城国证机器人产业ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159560.XSHE,CN,2023-11-20,景顺长城中证芯片产业ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159561.XSHE,CN,2024-04-30,嘉实德国DAXETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159562.XSHE,CN,2024-01-22,华夏中证沪深港黄金产业股票ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159563.XSHE,CN,2024-02-23,华夏创业板综合ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159565.XSHE,CN,2024-02-26,易方达中证汽车零部件主题ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159566.XSHE,CN,2024-02-08,易方达国证新能源电池ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159567.XSHE,CN,2024-01-11,港股创新药ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159568.XSHE,CN,2024-02-27,博时港股通互联网ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159569.XSHE,CN,2024-08-22,景顺长城国证港股通红利低波动率ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159570.XSHE,CN,2024-01-22,汇添富国证港股通创新药ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159571.XSHE,CN,2024-01-02,富国创业板中盘200ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159572.XSHE,CN,2023-12-25,易方达创业板中盘200ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159573.XSHE,CN,2023-12-25,华夏创业板中盘200ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159575.XSHE,CN,2024-01-02,创业板200ETF银华,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159576.XSHE,CN,2024-01-03,广发深证100ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159577.XSHE,CN,2024-02-23,汇添富MSCI美国50ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159578.XSHE,CN,2024-06-07,南方深证主板50ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159579.XSHE,CN,2024-07-19,华安深证主板50ETF,ETF,2025-03-20 00:00:00,XSHE
2025-01-02,159581.XSHE,CN,2024-03-15,万家中证红利ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159582.XSHE,CN,2024-04-16,博时中证半导体产业ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159583.XSHE,CN,2024-07-08,富国中证通信设备主题ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159586.XSHE,CN,2024-03-15,南方中证全指计算机ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159587.XSHE,CN,2024-08-21,广发国证粮食产业ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159588.XSHE,CN,2024-05-31,景顺长城国证石油天然气ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159589.XSHE,CN,2024-03-26,广发中证红利ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159590.XSHE,CN,2024-11-06,汇添富中证全指软件ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159591.XSHE,CN,2024-03-18,富国中证A50ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159592.XSHE,CN,2024-03-18,A50ETF基金,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159593.XSHE,CN,2024-03-12,平安中证A50ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159595.XSHE,CN,2024-03-18,大成中证A50ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159596.XSHE,CN,2024-03-18,华宝中证A50ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159597.XSHE,CN,2024-05-27,易方达创业板成长ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159599.XSHE,CN,2024-05-08,芯片ETF基金,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159601.XSHE,CN,2021-11-08,华夏MSCI中国A50互联互通ETF,ETF,2999-12-31 00:00:00,XSHE
